number,value,datetime_start,datetime_complete,duration,params_lambda,params_window_size,state
101,0.2268422492818466,2026-03-31 16:52:33.718324,2026-03-31 16:52:35.069150,0 days 00:00:01.350826,0.002019066241999858,245,COMPLETE
102,0.4876050218427266,2026-03-31 16:52:35.069589,2026-03-31 16:52:36.567435,0 days 00:00:01.497846,0.001389696493650478,270,COMPLETE
103,0.34798697011957935,2026-03-31 16:52:36.567899,2026-03-31 16:52:38.123169,0 days 00:00:01.555270,0.0017865212556783308,273,COMPLETE
104,0.33262088795192396,2026-03-31 16:52:38.123823,2026-03-31 16:52:39.510550,0 days 00:00:01.386727,0.0013588278728189536,302,COMPLETE
105,0.0,2026-03-31 16:52:39.510965,2026-03-31 16:52:41.042378,0 days 00:00:01.531413,0.0013853972156547647,305,COMPLETE
106,0.0,2026-03-31 16:52:41.042830,2026-03-31 16:52:42.390080,0 days 00:00:01.347250,0.0017340340210093303,312,COMPLETE
107,0.10467107027317926,2026-03-31 16:52:42.390533,2026-03-31 16:52:43.844572,0 days 00:00:01.454039,0.0019151793631269542,264,COMPLETE
108,0.26093146577368986,2026-03-31 16:52:43.844988,2026-03-31 16:52:45.241406,0 days 00:00:01.396418,0.0015634097601296163,272,COMPLETE
109,0.2555655029694715,2026-03-31 16:52:45.241850,2026-03-31 16:52:46.655797,0 days 00:00:01.413947,0.002238176665182705,285,COMPLETE
110,0.3995942870994017,2026-03-31 16:52:46.656201,2026-03-31 16:52:48.134227,0 days 00:00:01.478026,0.0013274989198009107,296,COMPLETE
111,0.0,2026-03-31 16:52:48.134685,2026-03-31 16:52:49.671525,0 days 00:00:01.536840,0.001327753668136105,296,COMPLETE
112,0.0,2026-03-31 16:52:49.671943,2026-03-31 16:52:51.065851,0 days 00:00:01.393908,0.018304038632682665,323,COMPLETE
113,0.0,2026-03-31 16:52:51.066258,2026-03-31 16:52:52.553208,0 days 00:00:01.486950,0.0017468865304889382,276,COMPLETE
114,0.2041371280082243,2026-03-31 16:52:52.553680,2026-03-31 16:52:54.049476,0 days 00:00:01.495796,0.001003834753896568,293,COMPLETE
115,0.18331902492596577,2026-03-31 16:52:54.049856,2026-03-31 16:52:55.409483,0 days 00:00:01.359627,0.0014913834289318581,262,COMPLETE
116,0.10637801813697306,2026-03-31 16:52:55.410024,2026-03-31 16:52:56.834125,0 days 00:00:01.424101,0.0012857734926060922,330,COMPLETE
117,0.0,2026-03-31 16:52:56.834532,2026-03-31 16:52:58.105841,0 days 00:00:01.271309,0.01230804565053004,269,COMPLETE
118,0.5577515686371113,2026-03-31 16:52:58.106277,2026-03-31 16:52:59.482730,0 days 00:00:01.376453,0.0019812113555075605,311,COMPLETE
119,0.49068591910746406,2026-03-31 16:52:59.483145,2026-03-31 16:53:00.834675,0 days 00:00:01.351530,0.0021565957568939567,316,COMPLETE
120,0.0,2026-03-31 16:53:00.835060,2026-03-31 16:53:02.167840,0 days 00:00:01.332780,0.0030979484418227157,346,COMPLETE
121,0.313700577628325,2026-03-31 16:53:02.168241,2026-03-31 16:53:03.622929,0 days 00:00:01.454688,0.0018897732034884153,318,COMPLETE
122,0.0,2026-03-31 16:53:03.623365,2026-03-31 16:53:05.009285,0 days 00:00:01.385920,0.0022955528769187635,311,COMPLETE
123,0.33712641531233417,2026-03-31 16:53:05.009789,2026-03-31 16:53:06.528558,0 days 00:00:01.518769,0.0020586308227507227,297,COMPLETE
124,0.0,2026-03-31 16:53:06.528944,2026-03-31 16:53:07.846072,0 days 00:00:01.317128,0.07679883610382857,306,COMPLETE
125,0.0,2026-03-31 16:53:07.846470,2026-03-31 16:53:09.136655,0 days 00:00:01.290185,0.002181277986267483,297,COMPLETE
126,0.12233373014959056,2026-03-31 16:53:09.137085,2026-03-31 16:53:10.552176,0 days 00:00:01.415091,0.001951370903256714,330,COMPLETE
127,0.10466949163375955,2026-03-31 16:53:10.552607,2026-03-31 16:53:11.993806,0 days 00:00:01.441199,0.0015870466803274937,338,COMPLETE
128,0.20744331392136822,2026-03-31 16:53:11.994221,2026-03-31 16:53:13.402477,0 days 00:00:01.408256,0.002611227235248893,287,COMPLETE
129,0.0,2026-03-31 16:53:13.402883,2026-03-31 16:53:14.708425,0 days 00:00:01.305542,0.0032288227264052906,300,COMPLETE
130,0.0,2026-03-31 16:53:14.708865,2026-03-31 16:53:16.075785,0 days 00:00:01.366920,0.005941070435809103,319,COMPLETE
131,0.0,2026-03-31 16:53:16.076235,2026-03-31 16:53:17.371057,0 days 00:00:01.294822,0.0017936045978064303,260,COMPLETE
132,0.5470933064933889,2026-03-31 16:53:17.371511,2026-03-31 16:53:18.939372,0 days 00:00:01.567861,0.0014162896233613457,310,COMPLETE
133,0.24658020905832678,2026-03-31 16:53:18.939793,2026-03-31 16:53:20.403715,0 days 00:00:01.463922,0.001388759179221648,308,COMPLETE
134,0.28939399834170226,2026-03-31 16:53:20.404162,2026-03-31 16:53:21.813962,0 days 00:00:01.409800,0.003631701100136127,283,COMPLETE
135,0.20658911251379652,2026-03-31 16:53:21.814407,2026-03-31 16:53:23.312178,0 days 00:00:01.497771,0.002064883232465971,290,COMPLETE
136,0.4028988621818724,2026-03-31 16:53:23.312596,2026-03-31 16:53:24.881620,0 days 00:00:01.569024,0.00234567870992117,313,COMPLETE
137,0.1176707989402493,2026-03-31 16:53:24.882042,2026-03-31 16:53:26.374894,0 days 00:00:01.492852,0.001589210971747711,312,COMPLETE
138,0.0,2026-03-31 16:53:26.375334,2026-03-31 16:53:27.713082,0 days 00:00:01.337748,0.00700822340156166,324,COMPLETE
139,0.3452548668119772,2026-03-31 16:53:27.713521,2026-03-31 16:53:29.120989,0 days 00:00:01.407468,0.0023571345215095845,299,COMPLETE
140,0.0,2026-03-31 16:53:29.121577,2026-03-31 16:53:30.517586,0 days 00:00:01.396009,0.0023726334587381216,316,COMPLETE
141,0.15308708361816137,2026-03-31 16:53:30.518022,2026-03-31 16:53:32.022056,0 days 00:00:01.504034,0.0020695644888414732,300,COMPLETE
142,0.0,2026-03-31 16:53:32.022506,2026-03-31 16:53:33.607594,0 days 00:00:01.585088,0.0014549024476131303,303,COMPLETE
143,0.14261245254130003,2026-03-31 16:53:33.608065,2026-03-31 16:53:35.080485,0 days 00:00:01.472420,0.0019066306208524383,335,COMPLETE
144,0.5008119090316139,2026-03-31 16:53:35.080881,2026-03-31 16:53:36.502094,0 days 00:00:01.421213,0.0016849403631705392,324,COMPLETE
145,0.0,2026-03-31 16:53:36.502517,2026-03-31 16:53:37.873955,0 days 00:00:01.371438,0.0022677064217851268,350,COMPLETE
146,0.0,2026-03-31 16:53:37.874425,2026-03-31 16:53:39.281684,0 days 00:00:01.407259,0.002561418155252332,321,COMPLETE
147,0.0,2026-03-31 16:53:39.282120,2026-03-31 16:53:40.608945,0 days 00:00:01.326825,0.0028539086264783783,278,COMPLETE
148,0.0,2026-03-31 16:53:40.609353,2026-03-31 16:53:41.958975,0 days 00:00:01.349622,0.001687066769382998,325,COMPLETE
149,0.15304520445069061,2026-03-31 16:53:41.959383,2026-03-31 16:53:43.519854,0 days 00:00:01.560471,0.0020937000017685727,341,COMPLETE
150,0.0,2026-03-31 16:53:43.520311,2026-03-31 16:53:45.214112,0 days 00:00:01.693801,0.0012197580645371335,294,COMPLETE
151,0.42884213515302805,2026-03-31 16:53:45.214557,2026-03-31 16:53:46.734341,0 days 00:00:01.519784,0.0013357740336858005,310,COMPLETE
152,0.2765574451145463,2026-03-31 16:53:46.734745,2026-03-31 16:53:48.148791,0 days 00:00:01.414046,0.0018271099507957504,312,COMPLETE
153,0.15082574266875098,2026-03-31 16:53:48.149280,2026-03-31 16:53:49.623479,0 days 00:00:01.474199,0.0015395396314692932,329,COMPLETE
154,0.10466948594346392,2026-03-31 16:53:49.623921,2026-03-31 16:53:51.125140,0 days 00:00:01.501219,0.001245725560677162,316,COMPLETE
