number,value,state,params_lambda,params_n_lags,params_window_size,user_attrs_kappa,user_attrs_kappa_tstat,user_attrs_r2_stage1,user_attrs_r2_stage2
89,-3.282742966348451e-10,COMPLETE,0.002587011932426392,19,20,5.833079415074353e-09,1.642661964743263e-07,0.5987549071014472,-3.282742966348451e-10
90,-2.719836333930914e-08,COMPLETE,0.0016195961018067688,24,30,8.709931638951017e-07,2.2389081888658068e-05,0.7707538342137976,-2.719836333930914e-08
91,-3.844080609383127e-11,COMPLETE,0.00759227664726667,18,20,1.889619888054402e-09,3.084756878927947e-08,0.028723952123386555,-3.844080609383127e-11
92,-2.3296031770314585e-11,COMPLETE,0.0007977472617444357,18,20,2.2694586613547746e-10,7.810900894295362e-09,0.9139545117766714,-2.3296031770314585e-11
93,0.00299164868341395,COMPLETE,0.00035812421563146497,16,10,0.05006814236748417,2.4802861852402986,0.8767950905303107,0.00299164868341395
94,-5.2060857402835836e-08,COMPLETE,0.002982655665144563,15,20,9.314633686484971e-06,0.0002644499712689808,0.5018054343770557,-5.2060857402835836e-08
95,-1.1227772467314878e-07,COMPLETE,0.00895364472821215,11,40,0.00034040377612071194,0.0015128267174405615,-0.006934209619675791,-1.1227772467314878e-07
96,3.829651186837424e-06,COMPLETE,0.001130987377766794,11,10,0.002056793147934592,0.08569810155265181,0.8230258787880282,3.829651186837424e-06
97,-8.301602738569613e-09,COMPLETE,0.0008165349161626729,12,20,2.914795362773736e-07,1.0043967949988271e-05,0.9088931766771479,-8.301602738569613e-09
98,-9.47584455346373e-10,COMPLETE,0.0018967016208853867,13,20,3.223015586096886e-08,1.0233688170450553e-06,0.7343778492652221,-9.47584455346373e-10
99,-9.115606758314243e-08,COMPLETE,0.00017571135185548032,15,40,1.9401194394542834e-06,6.391977017087847e-05,0.9786469344438308,-9.115606758314243e-08
100,-8.93504603638462e-10,COMPLETE,0.0002612020131695548,18,70,2.8751470526444504e-08,9.19939463016334e-07,0.9763647761899157,-8.93504603638462e-10
101,0.0006711980580932364,COMPLETE,0.00026830443929654876,14,10,0.02384911876152628,1.1425043676638946,0.8794014995370963,0.0006711980580932364
102,0.00022740104830942798,COMPLETE,0.0003694624690913414,18,90,0.019365267300789652,0.647595383463468,0.9534500407810849,0.00022740104830942798
103,0.00035565148643601496,COMPLETE,0.00022963753466438932,17,50,0.02468307880703472,0.8237489174345813,0.9786126082911718,0.00035565148643601496
104,4.9858909083821956e-05,COMPLETE,0.00016597748731340609,15,60,0.008868312227780428,0.3028221603482218,0.9844167015423123,4.9858909083821956e-05
105,0.00024090508161134228,COMPLETE,0.00020715757214686607,13,10,0.014253864113177913,0.6779204124593442,0.8807841455752937,0.00024090508161134228
106,-6.440303446098028e-08,COMPLETE,0.0001529816128732658,16,20,9.814894552328233e-07,3.701126479954931e-05,0.9537076112887173,-6.440303446098028e-08
107,0.002671895506695554,COMPLETE,0.0005212238383727807,17,10,0.048055714753884864,2.3385884024701875,0.8702579559360788,0.002671895506695554
108,-8.981004606667398e-08,COMPLETE,0.00043348004718839884,25,20,6.873749529238819e-07,2.4129354702139648e-05,0.9437402494397821,-8.981004606667398e-08
