PERMNO	TICKER	COMNAM	PERMCO
11998	LENS	CONCORD CAMERA CORP	9856
11999	MCP	MOLYCORP INC DE	53465
12007	OXF	OXFORD RESOURCE PARTNERS L P	53466
12007	WMLP	WESTMORELAND RESOURCE PTNRS LP	53466
12008	DY	DYCOM INDUSTRIES INC	7062
12009	QUAD	QUAD GRAPHICS INC	53467
12011	RLD	REALD INC	53468
12014	CBP	RENHUANG PHARMACEUTICALS INC	53469
12015	NTG	TORTOISE M L P FUND INC	53470
12017	VRNG	VRINGO INC	53444
12017	FH	FORM HOLDINGS CORP	53444
12018	AERL	ASIA ENTERTAINMENT & RESOUR LTD	53472
12018	IKGH	IAO KUN GROUP HOLDING CO LTD	53472
12018	LINU	LINIU TECHNOLOGY GROUP	53472
12021	AMAP	AUTONAVI HOLDINGS LTD	53473
12023	OINK	TIANLI AGRITECH INC	53474
12023	ABAC	AOXIN TIANLI GROUP INC	53474
12025	PEOP	PEOPLES FEDERAL BANCSHARES INC	53475
12026	QLIK	QLIK TECHNOLOGIES INC	53476
12027	SMT	SMART TECHNOLOGIES INC	53477
12030	THTI	T H T HEAT TRANSFER TECHNOL INC	53478
12032	ZOO	ZOO ENTERTAINMENT INC	53479
12032	ZOOG	ZOO ENTERTAINMENT INC	53479
12034	PHYS	SPROTT PHYSICAL GOLD TRUST	53343
12035	AMLP	ALPS E T F TRUST	53005
12036	GMT	G A T X CORP	20773
12036	GATX	G A T X CORP	20773
12038	AMBO	AMBOW EDUCATION HOLDING LTD	53480
12039	BBN	BLACKROCK BUILD AMERICA BOND TR	53481
12043	KH	CHINA KANGHUI HOLDINGS	53482
12047	INXX	E G A EMERGING GLOBAL SHARES TR	53146
12049	GORO	GOLD RESOURCE CORP	53483
12051	IL	INTRALINKS HOLDINGS INC	53484
12052	GD	GENERAL DYNAMICS CORP	20791
12054	SCIF	MARKET VECTORS E T F TRUST	50699
12056	NEWN	NEW ENERGY SYSTEMS GROUP	53485
12057	REE	RARE ELEMENT RESOURCES LTD	53486
12059	SCHR	SCHWAB STRATEGIC TRUST	53271
12060	GE	GENERAL ELECTRIC CO	20792
12062	LH	LABORATORY CORP AMERICA HLDGS	9848
12063	PARD	PONIARD PHARMACEUTICALS INC	9902
12064	SCHO	SCHWAB STRATEGIC TRUST	53271
12065	SCHP	SCHWAB STRATEGIC TRUST	53271
12066	USCI	UNITED STATES COMMODITY IND FUND	53487
12067	NVLS	NOVELLUS SYSTEMS INC	9903
12068	ONB	OLD NATIONAL BANCORP	7067
12070	WSR	WHITESTONE REIT	53488
12072	PKY	PARKWAY PROPERTIES INC	3589
12073	PBCT	PEOPLES UNITED FINANCIAL INC	9847
12074	PDE	PRIDE INTERNATIONAL INC DEL	9921
12075	ELD	WISDOMTREE TRUST	50852
