"DATE","vwretx","sprtrn"
"2012-02-03",0.014536,0.014605
"2012-02-06",-0.001006,-0.000424
"2012-02-07",0.001374,0.002023
"2012-02-08",0.001941,0.00216
"2012-02-09",0.000974,0.001474
"2012-02-10",-0.00841,-0.006886
"2012-02-13",0.00723,0.0068
"2012-02-14",-0.001725,-0.00094
"2012-02-15",-0.00449,-0.005383
"2012-02-16",0.012353,0.011026
"2012-02-17",0.001313,0.002349
"2012-02-21",0.000132,0.00072
"2012-02-22",-0.003182,-0.00334
"2012-02-23",0.005575,0.004272
"2012-02-24",0.001411,0.001672
"2012-02-27",0.000723,0.001355
"2012-02-28",0.002769,0.003356
"2012-02-29",-0.005799,-0.004737
"2012-03-01",0.006708,0.006158
"2012-03-02",-0.004969,-0.003246
"2012-03-05",-0.004627,-0.00387
"2012-03-06",-0.017413,-0.01537
"2012-03-07",0.007708,0.006901
"2012-03-08",0.010714,0.009818
"2012-03-09",0.0045,0.003631
"2012-03-12",-0.001421,0.00016
"2012-03-13",0.017273,0.018132
"2012-03-14",-0.003954,-0.001196
"2012-03-15",0.006472,0.005967
"2012-03-16",0.001244,0.001119
"2012-03-19",0.003986,0.003974
"2012-03-20",-0.004522,-0.003001
"2012-03-21",-0.001157,-0.001871
"2012-03-22",-0.008173,-0.007207
"2012-03-23",0.004468,0.003109
"2012-03-26",0.0139,0.013886
"2012-03-27",-0.003749,-0.002817
"2012-03-28",-0.005792,-0.004942
"2012-03-29",-0.00193,-0.001608
"2012-03-30",0.003295,0.003698
"2012-04-02",0.007938,0.007505
"2012-04-03",-0.004612,-0.003989
"2012-04-04",-0.011843,-0.010202
"2012-04-05",-0.001052,-0.000629
"2012-04-09",-0.011402,-0.011358
"2012-04-10",-0.018039,-0.017081
"2012-04-11",0.008385,0.007449
"2012-04-12",0.015051,0.013779
"2012-04-13",-0.01241,-0.012475
"2012-04-16",-0.000592,-0.000504
"2012-04-17",0.014946,0.015487
"2012-04-18",-0.004052,-0.004055
"2012-04-19",-0.004712,-0.005934
"2012-04-20",0.001614,0.001169
"2012-04-23",-0.009599,-0.008408
"2012-04-24",0.003241,0.00368
"2012-04-25",0.013728,0.013645
"2012-04-26",0.006712,0.00668
"2012-04-27",0.003837,0.002414
"2012-04-30",-0.004339,-0.003884
"2012-05-01",0.004843,0.005658
"2012-05-02",-0.002183,-0.002497
"2012-05-03",-0.010092,-0.007659
"2012-05-04",-0.015738,-0.016147
"2012-05-07",0.000515,0.000351
"2012-05-08",-0.005466,-0.004279
"2012-05-09",-0.006301,-0.006702
"2012-05-10",0.002655,0.002517
"2012-05-11",-0.00293,-0.003387
"2012-05-14",-0.012257,-0.011113
"2012-05-15",-0.006167,-0.005746
"2012-05-16",-0.005164,-0.004404
"2012-05-17",-0.01595,-0.015051
"2012-05-18",-0.008158,-0.007388
"2012-05-21",0.017735,0.016036
"2012-05-22",-0.000545,0.000486
"2012-05-23",0.002754,0.001694
"2012-05-24",0.000872,0.00138
"2012-05-25",-0.001558,-0.002166
"2012-05-29",0.011089,0.011079
"2012-05-30",-0.015751,-0.014335
"2012-05-31",-0.002063,-0.002277
"2012-06-01",-0.024632,-0.024643
"2012-06-04",-0.001044,0.00011
"2012-06-05",0.007834,0.005727
"2012-06-06",0.022492,0.023049
"2012-06-07",-0.00144,-0.000106
"2012-06-08",0.007097,0.008114
"2012-06-11",-0.014006,-0.01262
"2012-06-12",0.011623,0.011651
"2012-06-13",-0.007358,-0.007023
"2012-06-14",0.009472,0.010815
"2012-06-15",0.010032,0.010338
"2012-06-18",0.002162,0.001445
"2012-06-19",0.011571,0.009816
"2012-06-20",-0.001539,-0.001686
"2012-06-21",-0.023684,-0.022262
"2012-06-22",0.007245,0.007175
"2012-06-25",-0.015561,-0.015955
"2012-06-26",0.004828,0.004773
"2012-06-27",0.008742,0.008985
"2012-06-28",-0.002156,-0.00211
"2012-06-29",0.025476,0.02492
"2012-07-02",0.003733,0.002459
"2012-07-03",0.008806,0.006232
"2012-07-05",-0.004155,-0.004687
"2012-07-06",-0.010199,-0.009433
"2012-07-09",-0.002216,-0.001639
"2012-07-10",-0.008826,-0.008126
"2012-07-11",-0.000406,-1.5e-05
"2012-07-12",-0.00491,-0.004987
"2012-07-13",0.01524,0.016497
"2012-07-16",-0.002482,-0.002314
"2012-07-17",0.006703,0.00741
"2012-07-18",0.006155,0.006681
"2012-07-19",0.002764,0.002717
"2012-07-20",-0.009942,-0.010062
"2012-07-23",-0.010186,-0.008909
"2012-07-24",-0.009475,-0.009041
"2012-07-25",0.000691,-0.000314
"2012-07-26",0.01549,0.016541
"2012-07-27",0.018833,0.019081
"2012-07-30",-0.000826,-0.000483
"2012-07-31",-0.005003,-0.004317
"2012-08-01",-0.004648,-0.00303
"2012-08-02",-0.007397,-0.007374
"2012-08-03",0.019092,0.01904
"2012-08-06",0.003511,0.002329
"2012-08-07",0.006332,0.005107
"2012-08-08",-0.000104,0.000621
"2012-08-09",0.001346,0.000414
"2012-08-10",0.001836,0.002188
"2012-08-13",-0.002082,-0.001252
"2012-08-14",-0.000148,-0.000128
"2012-08-15",0.002475,0.00114
"2012-08-16",0.007849,0.007101
"2012-08-17",0.002632,0.001872
"2012-08-20",-0.00065,-2.1e-05
"2012-08-21",-0.002373,-0.003498
"2012-08-22",-0.000167,0.000226
"2012-08-23",-0.007344,-0.008072
"2012-08-24",0.005358,0.006455
"2012-08-27",-0.000581,-0.000489
"2012-08-28",0.000219,-0.000808
"2012-08-29",0.000735,0.000844
