stock,window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2,return_variance,failed
90548,20,1,5.783055944698348e-07,0.9362274417974682,-0.6425205107570529,-6.659507834072542e-09,-0.0002585485950508115,3.0157490937659777e-07,1.3431335190770973e-05,-0.00027617387247546714,-0.3641814667331743,1863,1866,,0.0010658871524237123,True
90550,20,1,5.783055944698348e-07,0.9387381531497766,-0.5648399581650665,0.0005653929041704586,-0.020579887251653384,0.02297694883646764,1.0502248112591341,5.763174096764278e-05,0.13746486572598285,1863,1866,,0.0003279202035728046,
90552,20,1,5.783055944698348e-07,0.9589524613471702,-0.5591643352330786,0.0008394161764527786,-0.00237819701141162,0.028254251799276646,1.2864413302894535,0.0001899809638650658,1.3825437213212024,1863,1866,,3.540360490108462e-05,
90558,20,1,5.783055944698348e-07,0.9481838615008054,-0.6216488744186013,0.004226923920244596,-0.0036543827072474944,0.05632949425830257,2.9809240193282354,0.0005276653010322042,0.8079740867612103,1863,1866,,0.0007952963525346262,
90562,20,1,5.783055944698348e-07,0.9578495094472217,-0.5695393129926039,4.1388226578287224e-05,-0.00025685234255834466,0.006155250789493588,0.27953354635993927,0.0005671170352307921,1.2226677848437466,1863,1866,,0.00039747357198928213,
90563,20,1,5.783055944698348e-07,0.9538973607992303,-0.5275940951483915,0.00016800757822132972,-0.004887072655872737,0.012914141502766027,0.566522401319037,0.00033386088395334857,1.494630612291412,1863,1866,,9.341380474276271e-05,
90564,20,1,5.783055944698348e-07,0.9505870582931506,-0.5768881766669003,0.0002023113198634796,-0.004925326051840706,0.014512321675584321,0.622172936434318,0.0010547734348788972,2.0508176403456293,1863,1866,,0.0004926112682281335,
90569,20,1,5.783055944698348e-07,0.9529528587177367,-0.5629408948302148,-5.491610499674948e-09,-7.050230752847497e-05,1.2059110556460038e-07,5.054994951359025e-06,0.0006994260388865029,1.5476605502703895,1863,1866,,0.00037993431018522116,True
90607,20,1,5.783055944698348e-07,0.9619378166203053,-0.6059391107678012,0.0005859833563396366,-0.0005280723421392519,0.022187783821779567,1.0677470121049515,0.0006061703003987903,1.9900465362313278,1863,1866,,0.00017376335997877802,
90612,20,1,5.783055944698348e-07,0.9422177275891438,-0.7032722923334411,-4.7554404858374255e-11,-0.00640184050648096,3.173172211601443e-10,1.3378510048098026e-08,0.00021444085829668802,0.9272437421260049,1863,1866,,0.00010042613591994894,True
